LotSizeSquareFeet,WaterViewYN,YearBuilt,BedroomsTotal,BathroomsFull,BathroomsHalf,LivingArea,GarageSpaces,CarportSpaces,FireplaceYN,PoolPrivateYN,ClosePrice
8549,TRUE,2016,5,4,0,4439,3,,FALSE,TRUE,675000
11108,FALSE,2018,5,4,0,4069,3,,FALSE,FALSE,540000
9920,FALSE,1999,5,4,0,3834,3,,TRUE,TRUE,515000
10035,TRUE,1999,5,4,0,3828,3,,TRUE,TRUE,495000
9600,TRUE,2007,5,4,0,3382,3,,FALSE,TRUE,494700
10476,FALSE,2002,4,3,1,3282,3,,FALSE,TRUE,482000
10550,FALSE,2019,4,3,0,2616,3,,FALSE,FALSE,475000
9937,TRUE,1997,5,3,0,3229,3,,FALSE,TRUE,460000
9600,FALSE,2007,5,4,0,3836,3,,FALSE,TRUE,460000
9600,FALSE,2007,5,4,0,3836,3,,FALSE,TRUE,460000
10338,TRUE,2017,4,3,0,2616,3,,FALSE,FALSE,459000
12810,FALSE,2003,5,3,0,3059,3,,FALSE,TRUE,430000
10348,TRUE,1998,5,3,0,2966,3,,TRUE,TRUE,425000
11527,FALSE,2006,5,4,0,3382,3,,FALSE,FALSE,425000
11434,FALSE,2006,5,4,0,3757,3,0,FALSE,FALSE,425000
12161,FALSE,2006,5,4,0,3410,3,,TRUE,TRUE,425000
13809,FALSE,2009,5,4,0,3391,3,,FALSE,TRUE,425000
8941,FALSE,2016,4,3,1,3478,3,,FALSE,FALSE,425000
10009,FALSE,1996,5,3,0,2992,3,,TRUE,TRUE,422000
13450,FALSE,2002,4,3,0,2870,3,,FALSE,TRUE,420000
9600,TRUE,2006,5,4,0,3382,3,,FALSE,FALSE,411000
11920,FALSE,1994,4,3,0,3174,3,,TRUE,FALSE,400000
10397,FALSE,2007,4,3,0,3188,3,,FALSE,FALSE,400000
13604,FALSE,2006,4,3,0,3414,3,,FALSE,TRUE,398000
16233,FALSE,2010,5,4,0,3309,3,,FALSE,FALSE,388000
11785,FALSE,2006,4,3,0,2791,3,,FALSE,TRUE,385000
14722,FALSE,2002,3,3,0,3098,3,,FALSE,FALSE,385000
10080,TRUE,2006,4,4,0,3382,3,,FALSE,FALSE,384000
12266,FALSE,1995,4,2,1,2462,2,,FALSE,TRUE,380000
18439,FALSE,2002,4,3,0,2531,3,,TRUE,TRUE,380000
9950,FALSE,2006,4,3,0,2791,3,,FALSE,TRUE,379900
12234,FALSE,1995,4,3,0,2670,3,,FALSE,FALSE,379203
14045,FALSE,2003,4,3,0,2848,3,,FALSE,FALSE,379000
8760,FALSE,2000,4,3,0,2592,3,0,TRUE,TRUE,375000
13366,FALSE,2006,4,3,0,3116,3,,FALSE,FALSE,375000
9721,FALSE,1995,4,3,0,2554,3,,FALSE,TRUE,375000
13000,FALSE,2005,4,3,0,2221,3,,FALSE,TRUE,370000
7475,TRUE,1998,4,3,0,2432,2,,TRUE,TRUE,365500
9600,FALSE,2006,4,3,0,2860,3,,FALSE,FALSE,365000
10473,TRUE,1999,4,3,0,2478,3,,TRUE,TRUE,363000
11927,FALSE,1999,4,3,0,2410,2,,FALSE,TRUE,360000
7535,FALSE,2005,4,3,0,2600,3,,FALSE,FALSE,359000
9600,FALSE,2007,4,3,0,2801,3,0,FALSE,FALSE,357500
11939,FALSE,1996,4,2,0,2236,3,,TRUE,TRUE,356000
7920,FALSE,1999,4,3,0,2643,3,,FALSE,TRUE,355000
15021,FALSE,1997,4,3,0,2373,2,,FALSE,TRUE,354000
13862,FALSE,1997,4,3,0,2495,3,,FALSE,TRUE,354000
9319,FALSE,2002,4,3,0,1810,2,,TRUE,TRUE,350000
10080,FALSE,2007,4,3,0,3410,3,,FALSE,FALSE,350000
7499,FALSE,1998,5,3,0,2388,2,,FALSE,TRUE,349900
10892,FALSE,1993,4,3,0,2374,3,,TRUE,FALSE,345000
8340,TRUE,1999,4,3,0,2258,3,,FALSE,TRUE,345000
7920,FALSE,2000,4,3,0,2641,3,,TRUE,TRUE,341000
6048,TRUE,2003,3,2,1,1888,2,,FALSE,FALSE,340000
11939,FALSE,1996,4,2,0,2236,3,,TRUE,TRUE,340000
9148,FALSE,2005,5,3,1,2650,3,,FALSE,FALSE,339000
10445,FALSE,1993,4,3,0,2359,3,,FALSE,FALSE,335000
9327,FALSE,1994,3,2,0,1933,2,,TRUE,TRUE,335000
10595,FALSE,1994,4,3,0,2591,2,,TRUE,FALSE,335000
7000,FALSE,1999,4,3,0,2585,3,,FALSE,FALSE,333000
9457,FALSE,2002,4,2,0,2040,3,,FALSE,TRUE,333000
8276,FALSE,2003,4,2,0,2187,2,,FALSE,TRUE,327000
9600,FALSE,2006,4,3,0,2896,3,,FALSE,FALSE,325000
7298,FALSE,1997,4,3,0,2046,2,,TRUE,TRUE,323000
14609,FALSE,1995,3,2,1,1805,2,,FALSE,TRUE,321000
5550,FALSE,2006,4,2,0,2185,2,,FALSE,TRUE,320000
8395,FALSE,1995,3,2,0,2066,2,,FALSE,TRUE,320000
5663,TRUE,2003,3,2,0,2080,2,,TRUE,FALSE,319000
15781,FALSE,1999,4,2,0,2241,3,,FALSE,TRUE,319000
5801,TRUE,2005,4,2,0,2050,2,,FALSE,FALSE,318000
7650,FALSE,2004,4,3,0,2600,3,,FALSE,FALSE,315000
9531,FALSE,1996,3,2,0,2266,3,,FALSE,FALSE,315000
6600,FALSE,2005,4,3,0,2641,3,,FALSE,FALSE,314900
7939,FALSE,1996,3,2,0,2066,2,,FALSE,TRUE,310000
6780,FALSE,2006,4,3,0,2641,3,,FALSE,FALSE,310000
11146,FALSE,2006,4,3,0,2904,3,,FALSE,TRUE,310000
9676,TRUE,1995,4,3,0,2374,3,,TRUE,TRUE,310000
5235,TRUE,2017,3,2,1,2080,2,,FALSE,FALSE,308500
8243,FALSE,2002,4,2,0,2054,2,,FALSE,FALSE,307500
8394,FALSE,1995,4,2,0,2099,3,,TRUE,FALSE,305000
9261,FALSE,1999,4,2,0,2052,3,,FALSE,TRUE,303000
7728,FALSE,2001,4,2,0,1956,2,,FALSE,FALSE,301000
15123,FALSE,2002,4,2,0,1956,2,,FALSE,TRUE,300000
8566,FALSE,1994,3,3,0,2366,3,,FALSE,FALSE,300000
6875,FALSE,1998,4,2,0,1948,2,,FALSE,TRUE,300000
9105,FALSE,1995,4,2,0,2081,2,,FALSE,TRUE,298000
10120,FALSE,1998,4,2,0,2012,2,,TRUE,TRUE,298000
8086,FALSE,1999,4,2,0,2232,2,,FALSE,FALSE,295000
11451,FALSE,1995,3,2,0,2062,2,,FALSE,FALSE,295000
7694,FALSE,1999,4,3,0,2227,3,,FALSE,FALSE,295000
10899,TRUE,2001,4,2,0,1956,2,,FALSE,TRUE,295000
17330,FALSE,1997,4,2,0,2152,2,,FALSE,TRUE,292500
5500,FALSE,2000,3,2,1,1844,2,,FALSE,FALSE,292000
6600,FALSE,1996,4,2,0,2044,2,,FALSE,FALSE,290000
8220,FALSE,1998,3,2,0,2049,2,,FALSE,FALSE,290000
6959,FALSE,2001,4,2,0,1956,2,0,FALSE,FALSE,290000
8813,FALSE,2005,4,3,0,2162,3,,FALSE,FALSE,290000
15301,FALSE,2001,4,2,0,2095,3,,TRUE,FALSE,290000
7369,FALSE,1995,3,2,0,1826,2,,FALSE,FALSE,289000
8145,FALSE,1997,4,2,0,2123,2,,FALSE,FALSE,289000
8677,FALSE,2000,3,2,0,1948,2,,FALSE,FALSE,288000
6000,FALSE,1997,3,2,1,2395,2,,FALSE,FALSE,287000
8640,TRUE,1996,4,3,0,2493,2,,TRUE,TRUE,285000
6447,TRUE,1998,4,2,0,2034,2,,FALSE,FALSE,285000
7170,FALSE,1998,3,2,0,1866,2,,FALSE,TRUE,285000
8164,FALSE,1999,3,2,0,1790,2,,FALSE,FALSE,285000
6661,FALSE,2004,4,2,0,2080,3,,FALSE,FALSE,283000
5550,FALSE,2004,4,2,0,1987,2,,FALSE,TRUE,281900
9078,FALSE,1999,3,2,0,2079,3,,TRUE,FALSE,280800
8579,FALSE,1998,3,2,0,1882,2,,FALSE,TRUE,280100
7505,FALSE,2004,4,3,0,1821,2,,FALSE,FALSE,280000
12482,FALSE,1995,4,3,0,1769,2,,FALSE,FALSE,280000
6821,FALSE,1999,3,2,0,1616,2,,FALSE,FALSE,280000
6006,FALSE,1996,3,2,0,1592,2,,FALSE,TRUE,280000
5500,FALSE,1998,4,2,0,1936,2,,FALSE,FALSE,280000
10538,FALSE,2000,4,3,0,1956,380,,FALSE,FALSE,280000
8313,FALSE,2004,4,2,0,1987,2,,FALSE,FALSE,280000
6078,TRUE,1996,3,2,1,1747,2,,FALSE,TRUE,280000
9400,FALSE,2005,4,3,0,2300,3,,FALSE,FALSE,280000
5500,TRUE,1997,3,2,1,1810,2,,TRUE,TRUE,280000
6570,TRUE,2002,4,3,0,1810,2,,TRUE,TRUE,279400
6086,FALSE,2000,3,2,0,1654,2,,FALSE,FALSE,279000
6930,TRUE,1994,5,3,0,1753,2,,FALSE,FALSE,278200
7111,FALSE,2001,3,2,0,1691,2,,FALSE,TRUE,277500
6177,FALSE,2005,4,2,0,2044,2,,FALSE,FALSE,276000
5830,TRUE,1998,3,2,0,1936,2,,FALSE,FALSE,275000
6920,FALSE,1994,3,2,1,1810,2,,FALSE,FALSE,275000
5550,FALSE,2006,3,2,0,1935,2,,FALSE,FALSE,275000
9787,FALSE,1994,3,2,0,1731,2,,FALSE,TRUE,275000
6693,FALSE,2001,3,2,0,2050,2,,FALSE,FALSE,274990
7467,FALSE,2005,3,2,1,1808,2,0,FALSE,FALSE,273500
5586,FALSE,1999,3,2,1,1810,2,,FALSE,TRUE,273000
5550,FALSE,2005,4,2,1,1979,2,,FALSE,FALSE,270000
5500,TRUE,2000,3,2,0,1592,2,,TRUE,FALSE,270000
5677,TRUE,1999,4,2,0,2034,2,,FALSE,FALSE,270000
5227,TRUE,1996,4,2,0,1784,2,,FALSE,FALSE,270000
6249,FALSE,2002,4,2,0,1956,2,,FALSE,FALSE,269000
6457,TRUE,2000,3,2,1,1749,2,,TRUE,FALSE,269000
8964,FALSE,2001,3,2,0,1896,3,,FALSE,FALSE,267000
9158,FALSE,1996,4,2,0,1611,2,,FALSE,FALSE,265000
6532,FALSE,2001,3,2,0,1745,2,,FALSE,FALSE,265000
5969,FALSE,1997,4,3,0,1753,2,,FALSE,FALSE,265000
5500,TRUE,2000,3,2,0,1885,2,,FALSE,FALSE,265000
8451,FALSE,2000,4,2,0,2186,2,,FALSE,FALSE,265000
5603,FALSE,1999,4,2,0,2034,2,,FALSE,TRUE,265000
11431,FALSE,2000,4,2,0,2054,2,,FALSE,FALSE,265000
6600,FALSE,1999,3,2,0,1752,2,,FALSE,FALSE,264000
6024,FALSE,2001,3,2,0,1854,2,,FALSE,FALSE,263000
12750,FALSE,1996,4,2,0,1685,2,,FALSE,TRUE,262900
5501,FALSE,2000,4,2,0,1713,2,,FALSE,FALSE,262000
16182,FALSE,1994,3,2,0,1651,2,0,FALSE,TRUE,262000
9322,FALSE,1999,3,2,1,1810,2,,FALSE,FALSE,260500
6511,FALSE,2000,3,2,0,1950,2,,FALSE,FALSE,260000
7866,FALSE,2003,4,2,0,2054,2,,FALSE,FALSE,260000
7081,FALSE,2006,4,2,0,1993,2,,FALSE,FALSE,260000
8053,FALSE,1997,3,2,0,1854,2,,TRUE,TRUE,260000
5498,TRUE,2003,3,2,0,1612,2,,FALSE,TRUE,260000
7450,FALSE,1998,4,2,0,1956,2,,FALSE,FALSE,259900
6717,TRUE,1998,4,2,0,1665,2,,FALSE,FALSE,259000
12625,FALSE,2004,4,2,0,1959,2,,FALSE,FALSE,258000
5501,FALSE,1999,3,2,0,1790,2,,FALSE,FALSE,258000
8838,FALSE,2002,3,2,0,1956,2,,FALSE,FALSE,258000
5500,FALSE,2001,4,2,0,1956,2,,FALSE,FALSE,257500
6600,TRUE,1999,4,2,0,2060,2,,FALSE,FALSE,257000
6600,FALSE,2000,4,2,0,1866,2,,FALSE,TRUE,255500
8711,FALSE,2002,3,2,0,1810,2,,FALSE,FALSE,255000
6306,FALSE,1995,3,2,0,1810,2,,FALSE,FALSE,255000
11525,FALSE,2001,3,2,1,1757,2,,TRUE,FALSE,255000
6920,FALSE,2003,4,2,0,1956,2,,FALSE,FALSE,255000
7065,FALSE,2004,4,3,0,1874,2,,FALSE,FALSE,253000
6600,TRUE,2000,3,2,0,1505,2,,FALSE,FALSE,252000
6600,FALSE,1998,4,2,0,1665,2,,FALSE,FALSE,252000
6445,TRUE,2000,4,2,0,1672,2,,FALSE,FALSE,252000
8449,FALSE,1995,3,2,0,1410,2,,FALSE,FALSE,250000
8561,FALSE,2004,3,2,0,1810,2,,FALSE,FALSE,250000
5753,FALSE,1998,4,2,0,1928,2,,FALSE,FALSE,250000
5714,TRUE,1996,3,2,0,1846,2,,FALSE,FALSE,249900
11772,FALSE,1993,3,2,0,1454,2,,FALSE,TRUE,249900
5550,FALSE,2005,4,2,0,2044,2,,FALSE,FALSE,249000
8151,FALSE,1995,3,2,0,1654,2,,FALSE,FALSE,248000
5847,TRUE,2003,4,2,0,1742,2,,FALSE,FALSE,248000
7217,TRUE,2001,3,2,0,1833,3,,FALSE,FALSE,248000
6680,FALSE,2001,3,2,0,1956,2,,FALSE,FALSE,248000
10410,FALSE,1999,3,2,0,1837,2,,FALSE,FALSE,247000
7696,FALSE,1998,3,2,0,1485,2,,FALSE,FALSE,245000
6217,FALSE,2001,3,2,0,1632,2,,FALSE,FALSE,245000
5524,FALSE,1998,3,2,0,1790,2,,FALSE,FALSE,245000
6838,TRUE,1996,3,2,0,1745,2,0,FALSE,FALSE,244001
7192,FALSE,1994,3,2,1,1810,2,,TRUE,FALSE,240500
5500,FALSE,1998,3,2,0,1578,2,,FALSE,FALSE,240000
10643,FALSE,2004,3,2,0,1640,2,,FALSE,FALSE,239000
7770,FALSE,1998,4,2,0,1685,2,,FALSE,FALSE,239000
5872,FALSE,2000,3,2,0,1592,2,,FALSE,FALSE,235000
6859,FALSE,2000,3,2,0,1505,2,,FALSE,FALSE,230913
6214,FALSE,2001,3,2,0,1537,2,,FALSE,FALSE,230000
7150,FALSE,1995,3,2,0,1629,2,,FALSE,FALSE,229900
6600,FALSE,1999,3,2,0,1485,2,,FALSE,FALSE,227000
7878,TRUE,1995,3,2,0,1222,2,,FALSE,FALSE,226000
5569,FALSE,1998,3,2,0,1440,2,,FALSE,FALSE,226000
10235,FALSE,1997,4,2,0,2100,2,,FALSE,FALSE,225000
9360,FALSE,1994,3,2,0,1651,2,,FALSE,FALSE,225000
5500,FALSE,2004,3,2,0,1537,2,,FALSE,FALSE,222500
5500,FALSE,1998,3,2,0,1487,2,,FALSE,FALSE,222000
7982,FALSE,1998,3,2,0,1485,2,,FALSE,FALSE,218100
6600,FALSE,1999,4,2,0,2034,2,,FALSE,FALSE,218000
6086,FALSE,2000,3,2,0,1592,2,,FALSE,FALSE,218000
5550,TRUE,2002,3,2,0,1620,2,,FALSE,FALSE,217000
3960,FALSE,2002,3,2,0,1834,2,,TRUE,FALSE,205000
7174,FALSE,2004,3,2,0,1392,2,,FALSE,FALSE,171000
1684,TRUE,2002,2,2,1,1191,,,FALSE,FALSE,167850
